SOMAS	Atomic	Statistical	Mathematical	Condensed	Nuclear	Optics	Plasma	Particle
SOMA1	7	8	5	11	7	9	6	18.1
SOMA2	235	86	49	343	32	101	92	229
SOMA3	7.1	7.9	7	8	8.4	19.9	5.1	10
SOMA4	544	589	544	232	589	259	191	69
SOMA5	29.1	43.6	6.1	14	29.9	10.1	25.4	50
SOMA6	5	2	0.1	3	0	1.8	3	4
SOMA7	99	548	380	132	276	138	426	132
SOMA8	13	10	7	15	9	9	13	49
SOMA9	487	187	75	350	67	178	220	202
SOMA10	23.2	3.1	7.2	21	14.1	11.8	9.5	16.9
SOMA11	21	14	20	8	10	31	13	20
SOMA12	0.7	0.3	0.2	1.8	0	0.3	2.4	6.7
SOMA13	0.7	0.6	0.1	1	0	0.2	0	2
SOMA14	0.9	1.3	0.7	9.8	0	0.1	13.4	35.2
SOMA15	1.1	0.9	0.8	2.3	0.2	0.2	0	6.7
